task_id	phase	embedding_model	input_name	matrix	metadata	classifier	reducer	components	seed	output
0	global_pca	bge_m3	text_plain	data/processed/embeddings/all_inputs/bge_m3/text_plain/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_plain/metadata.parquet	logistic	pca	128	42	reports/classification/precomputed_embeddings/global_pca/bge_m3_text_plain_logistic_pca_seed42.json
1	global_pca	bge_m3	text_input_2_short	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/metadata.parquet	logistic	pca	128	42	reports/classification/precomputed_embeddings/global_pca/bge_m3_text_input_2_short_logistic_pca_seed42.json
2	global_pca	bge_m3	text_input_3_long	data/processed/embeddings/all_inputs/bge_m3/text_input_3_long/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_3_long/metadata.parquet	logistic	pca	128	42	reports/classification/precomputed_embeddings/global_pca/bge_m3_text_input_3_long_logistic_pca_seed42.json
3	global_pca	bge_m3	text_input_5_masked_short	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/metadata.parquet	logistic	pca	128	42	reports/classification/precomputed_embeddings/global_pca/bge_m3_text_input_5_masked_short_logistic_pca_seed42.json
4	global_pca	bge_m3	text_input_6_masked_long	data/processed/embeddings/all_inputs/bge_m3/text_input_6_masked_long/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_6_masked_long/metadata.parquet	logistic	pca	128	42	reports/classification/precomputed_embeddings/global_pca/bge_m3_text_input_6_masked_long_logistic_pca_seed42.json
5	global_pca	chinese_roberta	text_plain	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/metadata.parquet	logistic	pca	128	42	reports/classification/precomputed_embeddings/global_pca/chinese_roberta_text_plain_logistic_pca_seed42.json
6	global_pca	chinese_roberta	text_input_2_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/metadata.parquet	logistic	pca	128	42	reports/classification/precomputed_embeddings/global_pca/chinese_roberta_text_input_2_short_logistic_pca_seed42.json
7	global_pca	chinese_roberta	text_input_3_long	data/processed/embeddings/all_inputs/chinese_roberta/text_input_3_long/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_3_long/metadata.parquet	logistic	pca	128	42	reports/classification/precomputed_embeddings/global_pca/chinese_roberta_text_input_3_long_logistic_pca_seed42.json
8	global_pca	chinese_roberta	text_input_5_masked_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/metadata.parquet	logistic	pca	128	42	reports/classification/precomputed_embeddings/global_pca/chinese_roberta_text_input_5_masked_short_logistic_pca_seed42.json
9	global_pca	chinese_roberta	text_input_6_masked_long	data/processed/embeddings/all_inputs/chinese_roberta/text_input_6_masked_long/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_6_masked_long/metadata.parquet	logistic	pca	128	42	reports/classification/precomputed_embeddings/global_pca/chinese_roberta_text_input_6_masked_long_logistic_pca_seed42.json
