task_id	source_task_id	predictions	factor_id	output_dir
0	0	reports/regression/pooled_embeddings/simple_states_aligned_pearson_v1/roberta_short_body_mean_ridge_none_0.stock_day_predictions.parquet	roberta_short_body_mean_ridge_none_0	reports/simple_states/simple_states_aligned_pearson_v1/roberta_short_body_mean_ridge_none_0
1	1	reports/regression/pooled_embeddings/simple_states_aligned_pearson_v1/roberta_short_body_mean_huber_sgd_none_0.stock_day_predictions.parquet	roberta_short_body_mean_huber_sgd_none_0	reports/simple_states/simple_states_aligned_pearson_v1/roberta_short_body_mean_huber_sgd_none_0
2	2	reports/regression/pooled_embeddings/simple_states_aligned_pearson_v1/roberta_short_body_mean_small_mlp_none_0.stock_day_predictions.parquet	roberta_short_body_mean_small_mlp_none_0	reports/simple_states/simple_states_aligned_pearson_v1/roberta_short_body_mean_small_mlp_none_0
3	3	reports/regression/pooled_embeddings/simple_states_aligned_pearson_v1/roberta_short_full_mean_ridge_none_0.stock_day_predictions.parquet	roberta_short_full_mean_ridge_none_0	reports/simple_states/simple_states_aligned_pearson_v1/roberta_short_full_mean_ridge_none_0
4	4	reports/regression/pooled_embeddings/simple_states_aligned_pearson_v1/roberta_short_full_mean_huber_sgd_none_0.stock_day_predictions.parquet	roberta_short_full_mean_huber_sgd_none_0	reports/simple_states/simple_states_aligned_pearson_v1/roberta_short_full_mean_huber_sgd_none_0
5	5	reports/regression/pooled_embeddings/simple_states_aligned_pearson_v1/roberta_short_full_mean_small_mlp_none_0.stock_day_predictions.parquet	roberta_short_full_mean_small_mlp_none_0	reports/simple_states/simple_states_aligned_pearson_v1/roberta_short_full_mean_small_mlp_none_0
6	6	reports/regression/pooled_embeddings/simple_states_aligned_pearson_v1/roberta_masked_short_body_mean_ridge_none_0.stock_day_predictions.parquet	roberta_masked_short_body_mean_ridge_none_0	reports/simple_states/simple_states_aligned_pearson_v1/roberta_masked_short_body_mean_ridge_none_0
7	7	reports/regression/pooled_embeddings/simple_states_aligned_pearson_v1/roberta_masked_short_body_mean_huber_sgd_none_0.stock_day_predictions.parquet	roberta_masked_short_body_mean_huber_sgd_none_0	reports/simple_states/simple_states_aligned_pearson_v1/roberta_masked_short_body_mean_huber_sgd_none_0
8	8	reports/regression/pooled_embeddings/simple_states_aligned_pearson_v1/roberta_masked_short_body_mean_small_mlp_none_0.stock_day_predictions.parquet	roberta_masked_short_body_mean_small_mlp_none_0	reports/simple_states/simple_states_aligned_pearson_v1/roberta_masked_short_body_mean_small_mlp_none_0
9	9	reports/regression/pooled_embeddings/simple_states_aligned_pearson_v1/roberta_masked_short_full_mean_ridge_none_0.stock_day_predictions.parquet	roberta_masked_short_full_mean_ridge_none_0	reports/simple_states/simple_states_aligned_pearson_v1/roberta_masked_short_full_mean_ridge_none_0
10	10	reports/regression/pooled_embeddings/simple_states_aligned_pearson_v1/roberta_masked_short_full_mean_huber_sgd_none_0.stock_day_predictions.parquet	roberta_masked_short_full_mean_huber_sgd_none_0	reports/simple_states/simple_states_aligned_pearson_v1/roberta_masked_short_full_mean_huber_sgd_none_0
11	11	reports/regression/pooled_embeddings/simple_states_aligned_pearson_v1/roberta_masked_short_full_mean_small_mlp_none_0.stock_day_predictions.parquet	roberta_masked_short_full_mean_small_mlp_none_0	reports/simple_states/simple_states_aligned_pearson_v1/roberta_masked_short_full_mean_small_mlp_none_0
