task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	output
0	nonlinear	data/processed/pooled_embeddings_v3	roberta	short	body_mean	mlp	none	0	reports/classification/pooled_embeddings/nonlinear/roberta_short_body_mean_mlp_none_0.json
1	nonlinear	data/processed/pooled_embeddings_v3	roberta	short	body_mean	mlp	pca	128	reports/classification/pooled_embeddings/nonlinear/roberta_short_body_mean_mlp_pca_128.json
2	nonlinear	data/processed/pooled_embeddings_v3	roberta	short	body_mean	random_forest	pca	128	reports/classification/pooled_embeddings/nonlinear/roberta_short_body_mean_random_forest_pca_128.json
3	nonlinear	data/processed/pooled_embeddings_v3	roberta	short	full_mean	mlp	none	0	reports/classification/pooled_embeddings/nonlinear/roberta_short_full_mean_mlp_none_0.json
4	nonlinear	data/processed/pooled_embeddings_v3	roberta	short	full_mean	mlp	pca	128	reports/classification/pooled_embeddings/nonlinear/roberta_short_full_mean_mlp_pca_128.json
5	nonlinear	data/processed/pooled_embeddings_v3	roberta	short	full_mean	random_forest	pca	128	reports/classification/pooled_embeddings/nonlinear/roberta_short_full_mean_random_forest_pca_128.json
6	nonlinear	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	mlp	none	0	reports/classification/pooled_embeddings/nonlinear/bge_m3_short_body_mean_mlp_none_0.json
7	nonlinear	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	mlp	pca	128	reports/classification/pooled_embeddings/nonlinear/bge_m3_short_body_mean_mlp_pca_128.json
8	nonlinear	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	random_forest	pca	128	reports/classification/pooled_embeddings/nonlinear/bge_m3_short_body_mean_random_forest_pca_128.json
9	nonlinear	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	mlp	none	0	reports/classification/pooled_embeddings/nonlinear/bge_m3_short_full_mean_mlp_none_0.json
10	nonlinear	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	mlp	pca	128	reports/classification/pooled_embeddings/nonlinear/bge_m3_short_full_mean_mlp_pca_128.json
11	nonlinear	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	random_forest	pca	128	reports/classification/pooled_embeddings/nonlinear/bge_m3_short_full_mean_random_forest_pca_128.json
12	nonlinear	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	mlp	none	0	reports/classification/pooled_embeddings/nonlinear/roberta_masked_short_body_mean_mlp_none_0.json
13	nonlinear	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	mlp	pca	128	reports/classification/pooled_embeddings/nonlinear/roberta_masked_short_body_mean_mlp_pca_128.json
14	nonlinear	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	random_forest	pca	128	reports/classification/pooled_embeddings/nonlinear/roberta_masked_short_body_mean_random_forest_pca_128.json
15	nonlinear	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	mlp	none	0	reports/classification/pooled_embeddings/nonlinear/roberta_masked_short_full_mean_mlp_none_0.json
16	nonlinear	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	mlp	pca	128	reports/classification/pooled_embeddings/nonlinear/roberta_masked_short_full_mean_mlp_pca_128.json
17	nonlinear	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	random_forest	pca	128	reports/classification/pooled_embeddings/nonlinear/roberta_masked_short_full_mean_random_forest_pca_128.json
18	nonlinear	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	mlp	none	0	reports/classification/pooled_embeddings/nonlinear/bge_m3_masked_short_body_mean_mlp_none_0.json
19	nonlinear	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	mlp	pca	128	reports/classification/pooled_embeddings/nonlinear/bge_m3_masked_short_body_mean_mlp_pca_128.json
20	nonlinear	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	random_forest	pca	128	reports/classification/pooled_embeddings/nonlinear/bge_m3_masked_short_body_mean_random_forest_pca_128.json
21	nonlinear	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	mlp	none	0	reports/classification/pooled_embeddings/nonlinear/bge_m3_masked_short_full_mean_mlp_none_0.json
22	nonlinear	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	mlp	pca	128	reports/classification/pooled_embeddings/nonlinear/bge_m3_masked_short_full_mean_mlp_pca_128.json
23	nonlinear	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	random_forest	pca	128	reports/classification/pooled_embeddings/nonlinear/bge_m3_masked_short_full_mean_random_forest_pca_128.json
