task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	search_stage	seed	output	train_target	evaluation_target
0	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	body_mean	logistic	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_body_mean_logistic_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
1	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	body_mean	logistic	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_body_mean_logistic_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
2	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	body_mean	mlp	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_body_mean_mlp_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
3	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	body_mean	mlp	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_body_mean_mlp_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
4	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	body_mean	hist_gradient_boosting	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_body_mean_hist_gradient_boosting_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
5	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	body_mean	hist_gradient_boosting	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_body_mean_hist_gradient_boosting_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
6	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	body_mean	extra_trees	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_body_mean_extra_trees_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
7	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	body_mean	extra_trees	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_body_mean_extra_trees_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
8	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	full_mean	logistic	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_full_mean_logistic_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
9	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	full_mean	logistic	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_full_mean_logistic_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
10	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	full_mean	mlp	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_full_mean_mlp_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
11	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	full_mean	mlp	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_full_mean_mlp_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
12	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	full_mean	hist_gradient_boosting	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_full_mean_hist_gradient_boosting_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
13	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	full_mean	hist_gradient_boosting	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_full_mean_hist_gradient_boosting_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
14	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	full_mean	extra_trees	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_full_mean_extra_trees_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
15	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	full_mean	extra_trees	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_full_mean_extra_trees_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
16	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	logistic	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_title_body_full_concat_logistic_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
17	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	logistic	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_title_body_full_concat_logistic_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
18	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	mlp	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_title_body_full_concat_mlp_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
19	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	mlp	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_title_body_full_concat_mlp_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
20	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	hist_gradient_boosting	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_title_body_full_concat_hist_gradient_boosting_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
21	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	hist_gradient_boosting	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_title_body_full_concat_hist_gradient_boosting_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
22	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	extra_trees	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_title_body_full_concat_extra_trees_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
23	o2o_core	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	extra_trees	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_short_title_body_full_concat_extra_trees_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
