task_id	embedding_root	model	variant	feature	classifier	reducer	components	output	train_target	evaluation_target
0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	prompt_tokens_flat	logistic	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification/roberta_short_prompt_tokens_flat_logistic_pca_128.json	event_return_3d	next_day_return
1	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	prompt_tokens_flat	logistic	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification/roberta_masked_short_prompt_tokens_flat_logistic_pca_128.json	event_return_3d	next_day_return
2	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	prompt_tokens_flat	logistic	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification/roberta_long_prompt_tokens_flat_logistic_pca_128.json	event_return_3d	next_day_return
3	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	prompt_tokens_flat	logistic	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification/roberta_masked_long_prompt_tokens_flat_logistic_pca_128.json	event_return_3d	next_day_return
4	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	prompt_tokens_flat	logistic	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification/bge_m3_short_prompt_tokens_flat_logistic_pca_128.json	event_return_3d	next_day_return
5	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	prompt_tokens_flat	logistic	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification/bge_m3_masked_short_prompt_tokens_flat_logistic_pca_128.json	event_return_3d	next_day_return
6	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	long	prompt_tokens_flat	logistic	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification/bge_m3_long_prompt_tokens_flat_logistic_pca_128.json	event_return_3d	next_day_return
7	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_long	prompt_tokens_flat	logistic	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification/bge_m3_masked_long_prompt_tokens_flat_logistic_pca_128.json	event_return_3d	next_day_return
8	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	short	prompt_tokens_flat	logistic	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification/ckip_bert_short_prompt_tokens_flat_logistic_pca_128.json	event_return_3d	next_day_return
9	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_short	prompt_tokens_flat	logistic	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification/ckip_bert_masked_short_prompt_tokens_flat_logistic_pca_128.json	event_return_3d	next_day_return
10	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	long	prompt_tokens_flat	logistic	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification/ckip_bert_long_prompt_tokens_flat_logistic_pca_128.json	event_return_3d	next_day_return
11	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_long	prompt_tokens_flat	logistic	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification/ckip_bert_masked_long_prompt_tokens_flat_logistic_pca_128.json	event_return_3d	next_day_return
12	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	short	prompt_tokens_flat	logistic	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification/xlm_roberta_large_short_prompt_tokens_flat_logistic_pca_128.json	event_return_3d	next_day_return
13	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	masked_short	prompt_tokens_flat	logistic	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification/xlm_roberta_large_masked_short_prompt_tokens_flat_logistic_pca_128.json	event_return_3d	next_day_return
14	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	long	prompt_tokens_flat	logistic	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification/xlm_roberta_large_long_prompt_tokens_flat_logistic_pca_128.json	event_return_3d	next_day_return
15	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	masked_long	prompt_tokens_flat	logistic	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification/xlm_roberta_large_masked_long_prompt_tokens_flat_logistic_pca_128.json	event_return_3d	next_day_return
