task_id	phase	embedding_model	input_name	matrix	metadata	classifier	reducer	components	seed	output
0	global_nonlinear	bge_m3	text_plain	data/processed/embeddings/all_inputs/bge_m3/text_plain/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_plain/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/bge_m3_text_plain_simple_mlp_none_seed42.json
1	global_nonlinear	bge_m3	text_plain	data/processed/embeddings/all_inputs/bge_m3/text_plain/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_plain/metadata.parquet	hist_gradient_boosting	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/bge_m3_text_plain_hist_gradient_boosting_none_seed42.json
2	global_nonlinear	bge_m3	text_input_2_short	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/bge_m3_text_input_2_short_simple_mlp_none_seed42.json
3	global_nonlinear	bge_m3	text_input_2_short	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/metadata.parquet	hist_gradient_boosting	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/bge_m3_text_input_2_short_hist_gradient_boosting_none_seed42.json
4	global_nonlinear	bge_m3	text_input_3_long	data/processed/embeddings/all_inputs/bge_m3/text_input_3_long/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_3_long/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/bge_m3_text_input_3_long_simple_mlp_none_seed42.json
5	global_nonlinear	bge_m3	text_input_3_long	data/processed/embeddings/all_inputs/bge_m3/text_input_3_long/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_3_long/metadata.parquet	hist_gradient_boosting	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/bge_m3_text_input_3_long_hist_gradient_boosting_none_seed42.json
6	global_nonlinear	bge_m3	text_input_5_masked_short	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/bge_m3_text_input_5_masked_short_simple_mlp_none_seed42.json
7	global_nonlinear	bge_m3	text_input_5_masked_short	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/metadata.parquet	hist_gradient_boosting	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/bge_m3_text_input_5_masked_short_hist_gradient_boosting_none_seed42.json
8	global_nonlinear	bge_m3	text_input_6_masked_long	data/processed/embeddings/all_inputs/bge_m3/text_input_6_masked_long/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_6_masked_long/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/bge_m3_text_input_6_masked_long_simple_mlp_none_seed42.json
9	global_nonlinear	bge_m3	text_input_6_masked_long	data/processed/embeddings/all_inputs/bge_m3/text_input_6_masked_long/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_6_masked_long/metadata.parquet	hist_gradient_boosting	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/bge_m3_text_input_6_masked_long_hist_gradient_boosting_none_seed42.json
10	global_nonlinear	chinese_roberta	text_plain	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/chinese_roberta_text_plain_simple_mlp_none_seed42.json
11	global_nonlinear	chinese_roberta	text_plain	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/metadata.parquet	hist_gradient_boosting	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/chinese_roberta_text_plain_hist_gradient_boosting_none_seed42.json
12	global_nonlinear	chinese_roberta	text_input_2_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/chinese_roberta_text_input_2_short_simple_mlp_none_seed42.json
13	global_nonlinear	chinese_roberta	text_input_2_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/metadata.parquet	hist_gradient_boosting	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/chinese_roberta_text_input_2_short_hist_gradient_boosting_none_seed42.json
14	global_nonlinear	chinese_roberta	text_input_3_long	data/processed/embeddings/all_inputs/chinese_roberta/text_input_3_long/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_3_long/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/chinese_roberta_text_input_3_long_simple_mlp_none_seed42.json
15	global_nonlinear	chinese_roberta	text_input_3_long	data/processed/embeddings/all_inputs/chinese_roberta/text_input_3_long/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_3_long/metadata.parquet	hist_gradient_boosting	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/chinese_roberta_text_input_3_long_hist_gradient_boosting_none_seed42.json
16	global_nonlinear	chinese_roberta	text_input_5_masked_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/chinese_roberta_text_input_5_masked_short_simple_mlp_none_seed42.json
17	global_nonlinear	chinese_roberta	text_input_5_masked_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/metadata.parquet	hist_gradient_boosting	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/chinese_roberta_text_input_5_masked_short_hist_gradient_boosting_none_seed42.json
18	global_nonlinear	chinese_roberta	text_input_6_masked_long	data/processed/embeddings/all_inputs/chinese_roberta/text_input_6_masked_long/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_6_masked_long/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/chinese_roberta_text_input_6_masked_long_simple_mlp_none_seed42.json
19	global_nonlinear	chinese_roberta	text_input_6_masked_long	data/processed/embeddings/all_inputs/chinese_roberta/text_input_6_masked_long/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_6_masked_long/metadata.parquet	hist_gradient_boosting	none	0	42	reports/classification/precomputed_embeddings/global_nonlinear/chinese_roberta_text_input_6_masked_long_hist_gradient_boosting_none_seed42.json
