task_id	phase	embedding_model	input_name	matrix	metadata	classifier	reducer	components	seed	output	train_target	evaluation_target
0	label_comparison	bge_m3	text_plain	data/processed/embeddings/all_inputs/bge_m3/text_plain/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_plain/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_plain_logistic_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
1	label_comparison	bge_m3	text_plain	data/processed/embeddings/all_inputs/bge_m3/text_plain/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_plain/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_plain_simple_mlp_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
2	label_comparison	bge_m3	text_plain	data/processed/embeddings/all_inputs/bge_m3/text_plain/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_plain/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_plain_logistic_none_next1_to_next1_seed42.json	next_day_return	next_day_return
3	label_comparison	bge_m3	text_plain	data/processed/embeddings/all_inputs/bge_m3/text_plain/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_plain/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_plain_simple_mlp_none_next1_to_next1_seed42.json	next_day_return	next_day_return
4	label_comparison	bge_m3	text_input_2_short	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_input_2_short_logistic_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
5	label_comparison	bge_m3	text_input_2_short	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_input_2_short_simple_mlp_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
6	label_comparison	bge_m3	text_input_2_short	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_input_2_short_logistic_none_next1_to_next1_seed42.json	next_day_return	next_day_return
7	label_comparison	bge_m3	text_input_2_short	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_input_2_short_simple_mlp_none_next1_to_next1_seed42.json	next_day_return	next_day_return
8	label_comparison	bge_m3	text_input_3_long	data/processed/embeddings/all_inputs/bge_m3/text_input_3_long/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_3_long/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_input_3_long_logistic_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
9	label_comparison	bge_m3	text_input_3_long	data/processed/embeddings/all_inputs/bge_m3/text_input_3_long/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_3_long/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_input_3_long_simple_mlp_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
10	label_comparison	bge_m3	text_input_3_long	data/processed/embeddings/all_inputs/bge_m3/text_input_3_long/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_3_long/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_input_3_long_logistic_none_next1_to_next1_seed42.json	next_day_return	next_day_return
11	label_comparison	bge_m3	text_input_3_long	data/processed/embeddings/all_inputs/bge_m3/text_input_3_long/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_3_long/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_input_3_long_simple_mlp_none_next1_to_next1_seed42.json	next_day_return	next_day_return
12	label_comparison	bge_m3	text_input_5_masked_short	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_input_5_masked_short_logistic_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
13	label_comparison	bge_m3	text_input_5_masked_short	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_input_5_masked_short_simple_mlp_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
