task_id	embedding_root	model	variant	feature	classifier	reducer	components	output	train_target	evaluation_target
0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	prompt_tokens_flat	linear_svm	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification_other/roberta_short_prompt_tokens_flat_linear_svm_pca_128.json	event_return_3d	next_day_return
1	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	prompt_tokens_flat	sgd	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification_other/roberta_short_prompt_tokens_flat_sgd_pca_128.json	event_return_3d	next_day_return
2	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	prompt_tokens_flat	linear_svm	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification_other/roberta_masked_short_prompt_tokens_flat_linear_svm_pca_128.json	event_return_3d	next_day_return
3	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	prompt_tokens_flat	sgd	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification_other/roberta_masked_short_prompt_tokens_flat_sgd_pca_128.json	event_return_3d	next_day_return
4	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	prompt_tokens_flat	linear_svm	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification_other/roberta_long_prompt_tokens_flat_linear_svm_pca_128.json	event_return_3d	next_day_return
5	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	prompt_tokens_flat	sgd	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification_other/roberta_long_prompt_tokens_flat_sgd_pca_128.json	event_return_3d	next_day_return
6	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	prompt_tokens_flat	linear_svm	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification_other/roberta_masked_long_prompt_tokens_flat_linear_svm_pca_128.json	event_return_3d	next_day_return
7	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	prompt_tokens_flat	sgd	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification_other/roberta_masked_long_prompt_tokens_flat_sgd_pca_128.json	event_return_3d	next_day_return
8	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	prompt_tokens_flat	linear_svm	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification_other/bge_m3_short_prompt_tokens_flat_linear_svm_pca_128.json	event_return_3d	next_day_return
9	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	prompt_tokens_flat	sgd	pca	128	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_classification_other/bge_m3_short_prompt_tokens_flat_sgd_pca_128.json	event_return_3d	next_day_return
