task_id	embedding_root	model	variant	feature	classifier	reducer	components	output	train_target	evaluation_target
0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	plain	full_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_plain_full_mean_logistic_none_0.json	event_return_3d	next_day_return
1	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	plain	full_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_plain_full_mean_logistic_pca_128.json	event_return_3d	next_day_return
2	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	title_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_short_title_mean_logistic_none_0.json	event_return_3d	next_day_return
3	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	title_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_short_title_mean_logistic_pca_128.json	event_return_3d	next_day_return
4	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	body_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_short_body_mean_logistic_none_0.json	event_return_3d	next_day_return
5	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	body_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_short_body_mean_logistic_pca_128.json	event_return_3d	next_day_return
6	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	full_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_short_full_mean_logistic_none_0.json	event_return_3d	next_day_return
7	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	full_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_short_full_mean_logistic_pca_128.json	event_return_3d	next_day_return
8	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	title_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_masked_short_title_mean_logistic_none_0.json	event_return_3d	next_day_return
9	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	title_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_masked_short_title_mean_logistic_pca_128.json	event_return_3d	next_day_return
10	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	body_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_masked_short_body_mean_logistic_none_0.json	event_return_3d	next_day_return
11	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	body_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_masked_short_body_mean_logistic_pca_128.json	event_return_3d	next_day_return
12	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	full_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_masked_short_full_mean_logistic_none_0.json	event_return_3d	next_day_return
13	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	full_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_masked_short_full_mean_logistic_pca_128.json	event_return_3d	next_day_return
14	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	title_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_long_title_mean_logistic_none_0.json	event_return_3d	next_day_return
15	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	title_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_long_title_mean_logistic_pca_128.json	event_return_3d	next_day_return
16	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	body_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_long_body_mean_logistic_none_0.json	event_return_3d	next_day_return
17	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	body_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_long_body_mean_logistic_pca_128.json	event_return_3d	next_day_return
18	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	full_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_long_full_mean_logistic_none_0.json	event_return_3d	next_day_return
19	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	full_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_long_full_mean_logistic_pca_128.json	event_return_3d	next_day_return
20	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	title_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_masked_long_title_mean_logistic_none_0.json	event_return_3d	next_day_return
21	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	title_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_masked_long_title_mean_logistic_pca_128.json	event_return_3d	next_day_return
22	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	body_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_masked_long_body_mean_logistic_none_0.json	event_return_3d	next_day_return
23	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	body_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_masked_long_body_mean_logistic_pca_128.json	event_return_3d	next_day_return
24	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	full_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_masked_long_full_mean_logistic_none_0.json	event_return_3d	next_day_return
25	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	full_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/roberta_masked_long_full_mean_logistic_pca_128.json	event_return_3d	next_day_return
26	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	plain	full_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_plain_full_mean_logistic_none_0.json	event_return_3d	next_day_return
27	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	plain	full_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_plain_full_mean_logistic_pca_128.json	event_return_3d	next_day_return
28	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	title_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_short_title_mean_logistic_none_0.json	event_return_3d	next_day_return
29	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	title_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_short_title_mean_logistic_pca_128.json	event_return_3d	next_day_return
30	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	body_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_short_body_mean_logistic_none_0.json	event_return_3d	next_day_return
31	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	body_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_short_body_mean_logistic_pca_128.json	event_return_3d	next_day_return
32	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	full_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_short_full_mean_logistic_none_0.json	event_return_3d	next_day_return
33	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	full_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_short_full_mean_logistic_pca_128.json	event_return_3d	next_day_return
34	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	title_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_masked_short_title_mean_logistic_none_0.json	event_return_3d	next_day_return
35	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	title_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_masked_short_title_mean_logistic_pca_128.json	event_return_3d	next_day_return
36	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	body_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_masked_short_body_mean_logistic_none_0.json	event_return_3d	next_day_return
37	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	body_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_masked_short_body_mean_logistic_pca_128.json	event_return_3d	next_day_return
38	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	full_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_masked_short_full_mean_logistic_none_0.json	event_return_3d	next_day_return
39	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	full_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_masked_short_full_mean_logistic_pca_128.json	event_return_3d	next_day_return
40	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	long	title_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_long_title_mean_logistic_none_0.json	event_return_3d	next_day_return
41	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	long	title_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_long_title_mean_logistic_pca_128.json	event_return_3d	next_day_return
42	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	long	body_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_long_body_mean_logistic_none_0.json	event_return_3d	next_day_return
43	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	long	body_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_long_body_mean_logistic_pca_128.json	event_return_3d	next_day_return
44	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	long	full_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_long_full_mean_logistic_none_0.json	event_return_3d	next_day_return
45	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	long	full_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_long_full_mean_logistic_pca_128.json	event_return_3d	next_day_return
46	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_long	title_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_masked_long_title_mean_logistic_none_0.json	event_return_3d	next_day_return
47	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_long	title_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_masked_long_title_mean_logistic_pca_128.json	event_return_3d	next_day_return
48	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_long	body_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_masked_long_body_mean_logistic_none_0.json	event_return_3d	next_day_return
49	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_long	body_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_masked_long_body_mean_logistic_pca_128.json	event_return_3d	next_day_return
50	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_long	full_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_masked_long_full_mean_logistic_none_0.json	event_return_3d	next_day_return
51	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_long	full_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/bge_m3_masked_long_full_mean_logistic_pca_128.json	event_return_3d	next_day_return
52	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	plain	full_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_plain_full_mean_logistic_none_0.json	event_return_3d	next_day_return
53	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	plain	full_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_plain_full_mean_logistic_pca_128.json	event_return_3d	next_day_return
54	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	short	title_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_short_title_mean_logistic_none_0.json	event_return_3d	next_day_return
55	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	short	title_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_short_title_mean_logistic_pca_128.json	event_return_3d	next_day_return
56	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	short	body_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_short_body_mean_logistic_none_0.json	event_return_3d	next_day_return
57	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	short	body_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_short_body_mean_logistic_pca_128.json	event_return_3d	next_day_return
58	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	short	full_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_short_full_mean_logistic_none_0.json	event_return_3d	next_day_return
59	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	short	full_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_short_full_mean_logistic_pca_128.json	event_return_3d	next_day_return
60	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_short	title_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_masked_short_title_mean_logistic_none_0.json	event_return_3d	next_day_return
61	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_short	title_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_masked_short_title_mean_logistic_pca_128.json	event_return_3d	next_day_return
62	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_short	body_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_masked_short_body_mean_logistic_none_0.json	event_return_3d	next_day_return
63	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_short	body_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_masked_short_body_mean_logistic_pca_128.json	event_return_3d	next_day_return
64	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_short	full_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_masked_short_full_mean_logistic_none_0.json	event_return_3d	next_day_return
65	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_short	full_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_masked_short_full_mean_logistic_pca_128.json	event_return_3d	next_day_return
66	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	long	title_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_long_title_mean_logistic_none_0.json	event_return_3d	next_day_return
67	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	long	title_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_long_title_mean_logistic_pca_128.json	event_return_3d	next_day_return
68	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	long	body_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_long_body_mean_logistic_none_0.json	event_return_3d	next_day_return
69	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	long	body_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_long_body_mean_logistic_pca_128.json	event_return_3d	next_day_return
70	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	long	full_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_long_full_mean_logistic_none_0.json	event_return_3d	next_day_return
71	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	long	full_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_long_full_mean_logistic_pca_128.json	event_return_3d	next_day_return
