report,result_number,status,rationale,representation,classifier,reducer,accuracy,balanced_accuracy,auc,majority_accuracy,accuracy_lift_vs_majority,n_test
pooled_embeddings/aggregation/bge_m3_masked_short_title_body_concat_logistic_none_0.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:masked_short:title_body_concat,logistic,none,0.5162064825930373,0.5198330347465924,0.5296837810381805,0.5153753809215994,0.0008311016714378505,21658.0
pooled_embeddings/aggregation/bge_m3_masked_short_title_body_concat_logistic_pca_128.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:masked_short:title_body_concat,logistic,pca,0.5080801551389786,0.5104824875393867,0.5167489211340415,0.5153753809215994,-0.007295225782620762,21658.0
pooled_embeddings/aggregation/bge_m3_masked_short_title_body_mean_logistic_none_0.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:masked_short:title_body_mean,logistic,none,0.5135746606334841,0.5163133280216851,0.5271741433191774,0.5153753809215994,-0.0018007202881152873,21658.0
pooled_embeddings/aggregation/bge_m3_masked_short_title_body_mean_logistic_pca_128.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:masked_short:title_body_mean,logistic,pca,0.5085880506048573,0.5109183836656164,0.5169528281317601,0.5153753809215994,-0.006787330316742057,21658.0
pooled_embeddings/aggregation/bge_m3_short_title_body_concat_logistic_none_0.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:short:title_body_concat,logistic,none,0.5102964262628128,0.5163873914407987,0.5244622929194653,0.5153753809215994,-0.005078954658786605,21658.0
pooled_embeddings/aggregation/bge_m3_short_title_body_concat_logistic_pca_128.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:short:title_body_concat,logistic,pca,0.49903038138332256,0.5047610734755552,0.5116549634457721,0.5153753809215994,-0.01634499953827684,21658.0
pooled_embeddings/aggregation/bge_m3_short_title_body_mean_logistic_none_0.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:short:title_body_mean,logistic,none,0.5082186720842183,0.5141385505072742,0.5236426702668242,0.5153753809215994,-0.007156708837381065,21658.0
pooled_embeddings/aggregation/bge_m3_short_title_body_mean_logistic_pca_128.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:short:title_body_mean,logistic,pca,0.5025394773293933,0.5079579893371894,0.5133872638847614,0.5153753809215994,-0.0128359035922061,21658.0
pooled_embeddings/aggregation/roberta_masked_short_title_body_concat_logistic_none_0.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,roberta:masked_short:title_body_concat,logistic,none,0.5135284883184043,0.5165698228637232,0.5236969140179442,0.5153753809215994,-0.0018468926031951494,21658.0
pooled_embeddings/aggregation/roberta_masked_short_title_body_concat_logistic_pca_128.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,roberta:masked_short:title_body_concat,logistic,pca,0.5090036014405762,0.5128706209630016,0.5181197174865944,0.5153753809215994,-0.006371779481023188,21658.0
pooled_embeddings/aggregation/roberta_masked_short_title_body_mean_logistic_none_0.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,roberta:masked_short:title_body_mean,logistic,none,0.5124203527564872,0.5170182492537835,0.5209893100802593,0.5153753809215994,-0.0029550281651121724,21658.0
pooled_embeddings/aggregation/roberta_masked_short_title_body_mean_logistic_pca_128.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,roberta:masked_short:title_body_mean,logistic,pca,0.5072952257826208,0.5114889203788113,0.518708998381923,0.5153753809215994,-0.00808015513897864,21658.0
pooled_embeddings/aggregation/roberta_short_title_body_concat_logistic_none_0.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,roberta:short:title_body_concat,logistic,none,0.5142210730446024,0.5185890219593045,0.5263343040930466,0.5153753809215994,-0.001154307876996996,21658.0
pooled_embeddings/aggregation/roberta_short_title_body_concat_logistic_pca_128.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,roberta:short:title_body_concat,logistic,pca,0.4940899436697756,0.5008576829022467,0.5028778550564633,0.5153753809215994,-0.021285437251823802,21658.0
pooled_embeddings/aggregation/roberta_short_title_body_mean_logistic_none_0.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,roberta:short:title_body_mean,logistic,none,0.5055868501246652,0.5119064308181941,0.5226763803639088,0.5153753809215994,-0.009788530796934203,21658.0
pooled_embeddings/aggregation/roberta_short_title_body_mean_logistic_pca_128.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,roberta:short:title_body_mean,logistic,pca,0.5025856496444732,0.5092306817474139,0.5116562181792754,0.5153753809215994,-0.012789731277126237,21658.0
pooled_embeddings/screening/bge_m3_masked_short_body_mean_logistic_none_0.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:masked_short:body_mean,logistic,none,0.5137593498938037,0.5164385026259609,0.5273845459100672,0.5153753809215994,-0.001616031027795728,21658.0
pooled_embeddings/screening/bge_m3_masked_short_body_mean_logistic_pca_128.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:masked_short:body_mean,logistic,pca,0.5076646043032598,0.5100253292284144,0.5171216367337897,0.5153753809215994,-0.007710776618339632,21658.0
pooled_embeddings/screening/bge_m3_masked_short_full_mean_logistic_none_0.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:masked_short:full_mean,logistic,none,0.5146827961954012,0.5174111430168122,0.5276651794347438,0.5153753809215994,-0.0006925847261981533,21658.0
pooled_embeddings/screening/bge_m3_masked_short_full_mean_logistic_pca_128.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:masked_short:full_mean,logistic,pca,0.5088650844953366,0.5111928374143981,0.5171429501321447,0.5153753809215994,-0.006510296426262774,21658.0
pooled_embeddings/screening/bge_m3_masked_short_title_mean_logistic_none_0.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:masked_short:title_mean,logistic,none,0.5172222735247946,0.5201789912338683,0.5287367559891247,0.5153753809215994,0.0018468926031951494,21658.0
pooled_embeddings/screening/bge_m3_masked_short_title_mean_logistic_pca_128.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:masked_short:title_mean,logistic,pca,0.5141287284144427,0.5171777369783587,0.5193442050841597,0.5153753809215994,-0.0012466525071567203,21658.0
pooled_embeddings/screening/bge_m3_short_body_mean_logistic_none_0.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:short:body_mean,logistic,none,0.5069258472619818,0.5128558714426342,0.5228404346355886,0.5153753809215994,-0.008449533659617647,21658.0
pooled_embeddings/screening/bge_m3_short_body_mean_logistic_pca_128.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:short:body_mean,logistic,pca,0.5027241665897129,0.5080376862536655,0.5134390237756805,0.5153753809215994,-0.01265121433188654,21658.0
pooled_embeddings/screening/bge_m3_short_full_mean_logistic_none_0.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:short:full_mean,logistic,none,0.5085880506048573,0.5144599586030129,0.5233467238720442,0.5153753809215994,-0.006787330316742057,21658.0
pooled_embeddings/screening/bge_m3_short_full_mean_logistic_pca_128.json,1,valid_full_panel,Full-panel pooled pipeline uses row-index alignment with explicit expected-row audits; results are not directly comparable to legacy tests.,bge_m3:short:full_mean,logistic,pca,0.5018007202881153,0.5073066460792497,0.513168180586572,0.5153753809215994,-0.013574660633484115,21658.0
