task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	output	train_target	evaluation_target
0	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	title_body_full_concat	linear_svm	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/roberta_short_title_body_full_concat_linear_svm_pca_128.json	next_day_return	next_day_return
1	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	title_body_full_concat	sgd	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/roberta_short_title_body_full_concat_sgd_none_0.json	next_day_return	next_day_return
2	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	title_body_full_concat	sgd	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/roberta_short_title_body_full_concat_sgd_pca_128.json	next_day_return	next_day_return
3	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	title_body_full_concat	mlp	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/roberta_short_title_body_full_concat_mlp_none_0.json	next_day_return	next_day_return
4	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	title_body_full_concat	mlp	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/roberta_short_title_body_full_concat_mlp_pca_128.json	next_day_return	next_day_return
5	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_body_full_concat	linear_svm	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/bge_m3_short_title_body_full_concat_linear_svm_pca_128.json	next_day_return	next_day_return
6	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_body_full_concat	sgd	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/bge_m3_short_title_body_full_concat_sgd_none_0.json	next_day_return	next_day_return
7	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_body_full_concat	sgd	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/bge_m3_short_title_body_full_concat_sgd_pca_128.json	next_day_return	next_day_return
8	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_body_full_concat	mlp	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/bge_m3_short_title_body_full_concat_mlp_none_0.json	next_day_return	next_day_return
9	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_body_full_concat	mlp	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/bge_m3_short_title_body_full_concat_mlp_pca_128.json	next_day_return	next_day_return
10	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	title_body_full_concat	linear_svm	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/roberta_masked_short_title_body_full_concat_linear_svm_pca_128.json	next_day_return	next_day_return
11	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	title_body_full_concat	sgd	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/roberta_masked_short_title_body_full_concat_sgd_none_0.json	next_day_return	next_day_return
12	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	title_body_full_concat	sgd	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/roberta_masked_short_title_body_full_concat_sgd_pca_128.json	next_day_return	next_day_return
13	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	title_body_full_concat	mlp	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/roberta_masked_short_title_body_full_concat_mlp_none_0.json	next_day_return	next_day_return
14	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	title_body_full_concat	mlp	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/roberta_masked_short_title_body_full_concat_mlp_pca_128.json	next_day_return	next_day_return
15	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	title_body_full_concat	linear_svm	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/bge_m3_masked_short_title_body_full_concat_linear_svm_pca_128.json	next_day_return	next_day_return
16	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	title_body_full_concat	sgd	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/bge_m3_masked_short_title_body_full_concat_sgd_none_0.json	next_day_return	next_day_return
17	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	title_body_full_concat	sgd	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/bge_m3_masked_short_title_body_full_concat_sgd_pca_128.json	next_day_return	next_day_return
18	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	title_body_full_concat	mlp	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/bge_m3_masked_short_title_body_full_concat_mlp_none_0.json	next_day_return	next_day_return
19	triple_models	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	title_body_full_concat	mlp	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/triple_models/bge_m3_masked_short_title_body_full_concat_mlp_pca_128.json	next_day_return	next_day_return
