model	path
masked_body_mlp	reports/classification/pooled_embeddings/next1_core/roberta_masked_short_body_mean_mlp_none_0.predictions.parquet
masked_body_logistic	reports/classification/pooled_embeddings/next1_core/roberta_masked_short_body_mean_logistic_none_0.predictions.parquet
validation_selected_body_mlp	reports/classification/pooled_embeddings/next1_core/roberta_short_body_mean_mlp_none_0.predictions.parquet
short_full_mean_mlp	reports/classification/pooled_embeddings/next1_core/roberta_short_full_mean_mlp_none_0.predictions.parquet
masked_segment_gate_mlp	reports/classification/pooled_embeddings/next1_segment_gating/roberta_masked_short_title_body_full_concat_logistic_l1_keep2_simple_mlp.predictions.parquet
hist_gradient_boosting__roberta__short__body_mean	reports/classification/pooled_embeddings/next1_strong_screen/roberta_short_body_mean_hist_gradient_boosting_none_0_seed42.predictions.parquet
extra_trees__roberta__short__body_mean	reports/classification/pooled_embeddings/next1_strong_screen/roberta_short_body_mean_extra_trees_none_0_seed42.predictions.parquet
hist_gradient_boosting__roberta__masked_short__body_mean	reports/classification/pooled_embeddings/next1_strong_screen/roberta_masked_short_body_mean_hist_gradient_boosting_none_0_seed42.predictions.parquet
extra_trees__roberta__masked_short__body_mean	reports/classification/pooled_embeddings/next1_strong_screen/roberta_masked_short_body_mean_extra_trees_none_0_seed42.predictions.parquet
hist_gradient_boosting__bge_m3__masked_short__body_mean	reports/classification/pooled_embeddings/next1_strong_screen/bge_m3_masked_short_body_mean_hist_gradient_boosting_none_0_seed42.predictions.parquet
extra_trees__bge_m3__masked_short__body_mean	reports/classification/pooled_embeddings/next1_strong_screen/bge_m3_masked_short_body_mean_extra_trees_none_0_seed42.predictions.parquet
hist_gradient_boosting__roberta__masked_short__title_body_full_concat	reports/classification/pooled_embeddings/next1_strong_screen/roberta_masked_short_title_body_full_concat_hist_gradient_boosting_none_0_seed42.predictions.parquet
extra_trees__roberta__masked_short__title_body_full_concat	reports/classification/pooled_embeddings/next1_strong_screen/roberta_masked_short_title_body_full_concat_extra_trees_none_0_seed42.predictions.parquet
