task_id	source_task_id	predictions	factor_id	output_dir
0	0	reports/regression/pooled_embeddings/finbert2/finbert2_base_short_prompt_mean_ridge.stock_day_predictions.parquet	finbert2_base_short_prompt_mean_ridge	reports/simple_states/finbert2_all_v1/finbert2_base_short_prompt_mean_ridge
1	1	reports/regression/pooled_embeddings/finbert2/finbert2_base_short_title_mean_ridge.stock_day_predictions.parquet	finbert2_base_short_title_mean_ridge	reports/simple_states/finbert2_all_v1/finbert2_base_short_title_mean_ridge
2	2	reports/regression/pooled_embeddings/finbert2/finbert2_base_short_body_mean_ridge.stock_day_predictions.parquet	finbert2_base_short_body_mean_ridge	reports/simple_states/finbert2_all_v1/finbert2_base_short_body_mean_ridge
3	3	reports/regression/pooled_embeddings/finbert2/finbert2_base_short_title_body_mean_ridge.stock_day_predictions.parquet	finbert2_base_short_title_body_mean_ridge	reports/simple_states/finbert2_all_v1/finbert2_base_short_title_body_mean_ridge
4	4	reports/regression/pooled_embeddings/finbert2/finbert2_base_short_full_mean_ridge.stock_day_predictions.parquet	finbert2_base_short_full_mean_ridge	reports/simple_states/finbert2_all_v1/finbert2_base_short_full_mean_ridge
5	5	reports/regression/pooled_embeddings/finbert2/finbert2_base_short_cls_ridge.stock_day_predictions.parquet	finbert2_base_short_cls_ridge	reports/simple_states/finbert2_all_v1/finbert2_base_short_cls_ridge
6	6	reports/regression/pooled_embeddings/finbert2/finbert2_base_short_full_max_ridge.stock_day_predictions.parquet	finbert2_base_short_full_max_ridge	reports/simple_states/finbert2_all_v1/finbert2_base_short_full_max_ridge
7	7	reports/regression/pooled_embeddings/finbert2/finbert2_base_masked_short_prompt_mean_ridge.stock_day_predictions.parquet	finbert2_base_masked_short_prompt_mean_ridge	reports/simple_states/finbert2_all_v1/finbert2_base_masked_short_prompt_mean_ridge
8	8	reports/regression/pooled_embeddings/finbert2/finbert2_base_masked_short_title_mean_ridge.stock_day_predictions.parquet	finbert2_base_masked_short_title_mean_ridge	reports/simple_states/finbert2_all_v1/finbert2_base_masked_short_title_mean_ridge
9	9	reports/regression/pooled_embeddings/finbert2/finbert2_base_masked_short_body_mean_ridge.stock_day_predictions.parquet	finbert2_base_masked_short_body_mean_ridge	reports/simple_states/finbert2_all_v1/finbert2_base_masked_short_body_mean_ridge
10	10	reports/regression/pooled_embeddings/finbert2/finbert2_base_masked_short_title_body_mean_ridge.stock_day_predictions.parquet	finbert2_base_masked_short_title_body_mean_ridge	reports/simple_states/finbert2_all_v1/finbert2_base_masked_short_title_body_mean_ridge
11	11	reports/regression/pooled_embeddings/finbert2/finbert2_base_masked_short_full_mean_ridge.stock_day_predictions.parquet	finbert2_base_masked_short_full_mean_ridge	reports/simple_states/finbert2_all_v1/finbert2_base_masked_short_full_mean_ridge
12	12	reports/regression/pooled_embeddings/finbert2/finbert2_base_masked_short_cls_ridge.stock_day_predictions.parquet	finbert2_base_masked_short_cls_ridge	reports/simple_states/finbert2_all_v1/finbert2_base_masked_short_cls_ridge
13	13	reports/regression/pooled_embeddings/finbert2/finbert2_base_masked_short_full_max_ridge.stock_day_predictions.parquet	finbert2_base_masked_short_full_max_ridge	reports/simple_states/finbert2_all_v1/finbert2_base_masked_short_full_max_ridge
14	0	reports/regression/pooled_embeddings/finbert2/finbert2_base_plain_full_mean_ridge.stock_day_predictions.parquet	finbert2_base_plain_full_mean_ridge	reports/simple_states/finbert2_all_v1/finbert2_base_plain_full_mean_ridge
