task_id	phase	embedding_model	input_name	matrix	metadata	classifier	reducer	components	seed	output	train_target	evaluation_target
0	next1_core	bge_m3	text_plain	data/processed/embeddings/all_inputs/bge_m3/text_plain/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_plain/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/next1_core/bge_m3_text_plain_logistic_none_next1_to_next1_seed42.json	next_day_return	next_day_return
1	next1_core	bge_m3	text_plain	data/processed/embeddings/all_inputs/bge_m3/text_plain/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_plain/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/next1_core/bge_m3_text_plain_simple_mlp_none_next1_to_next1_seed42.json	next_day_return	next_day_return
2	next1_core	bge_m3	text_input_2_short	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/next1_core/bge_m3_text_input_2_short_logistic_none_next1_to_next1_seed42.json	next_day_return	next_day_return
3	next1_core	bge_m3	text_input_2_short	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_2_short/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/next1_core/bge_m3_text_input_2_short_simple_mlp_none_next1_to_next1_seed42.json	next_day_return	next_day_return
4	next1_core	bge_m3	text_input_5_masked_short	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/next1_core/bge_m3_text_input_5_masked_short_logistic_none_next1_to_next1_seed42.json	next_day_return	next_day_return
5	next1_core	bge_m3	text_input_5_masked_short	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/next1_core/bge_m3_text_input_5_masked_short_simple_mlp_none_next1_to_next1_seed42.json	next_day_return	next_day_return
6	next1_core	chinese_roberta	text_plain	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/next1_core/chinese_roberta_text_plain_logistic_none_next1_to_next1_seed42.json	next_day_return	next_day_return
7	next1_core	chinese_roberta	text_plain	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/next1_core/chinese_roberta_text_plain_simple_mlp_none_next1_to_next1_seed42.json	next_day_return	next_day_return
8	next1_core	chinese_roberta	text_input_2_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/next1_core/chinese_roberta_text_input_2_short_logistic_none_next1_to_next1_seed42.json	next_day_return	next_day_return
9	next1_core	chinese_roberta	text_input_2_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/next1_core/chinese_roberta_text_input_2_short_simple_mlp_none_next1_to_next1_seed42.json	next_day_return	next_day_return
10	next1_core	chinese_roberta	text_input_5_masked_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/next1_core/chinese_roberta_text_input_5_masked_short_logistic_none_next1_to_next1_seed42.json	next_day_return	next_day_return
11	next1_core	chinese_roberta	text_input_5_masked_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/next1_core/chinese_roberta_text_input_5_masked_short_simple_mlp_none_next1_to_next1_seed42.json	next_day_return	next_day_return
